"Nº reporte";"Url del reporte";"Usuario";"Grupo";"Fecha del evento";"Hora del evento";"Precisión";"Fecha introducción";"Tipo de fenómeno";"Fiabilidad";"Latitud";"Longitud";"Altitud";"Provincia";"Localidad";"Dirección";"Cod_postal";"Detalles lugar";"Descripción del suceso";"¿Es multirreporte?";"¿Es destacado?";"Daños en bienes";"Daños en campo";"Total daños";"Nº heridos";"Nº muertos";"Fuentes de la información";"Tipo de vórtice";"Nº de vórtices";"¿Otros fenómenos?";"Fujita";"Torro";"Vel.viento Km/h";"¿Nube embudo?";"Nº vórtices en tuba";"Duración";"Otros meteoros";"Longitud trayectoria";"Anchura med. trayectoria";"Anchura máx trayectoria";"Dirección de avance";"Distancia tuba-suelo";"Aumento temperatura";"Tamaño máx. granizo";"Tamaño med. granizo";"Peso máx. granizo";"Espesor capa granizo";"Aspecto del granizo";"Precipitación total";"Hora inicio";"Máx. prec. 5min";"Máx. prec. 10min";"Máx. prec. 15min";"Máx. prec. 30min";"Máx. prec. 1h";"Máx. prec. 3h";"Máx. prec. 24h";"¿Tormenta?";"Tipo de precipitación";"Diametro promedio granizo";"Nieve acumulada";"Equivalencia en agua";"Nieve acumulada en máx. intensidad";"Equivalencia en agua en máx. intensidad";"Duración pico intensidad";"¿Hubo tormenta?";"Tipo de avalancha";"Tipo de flujo";"Tipo de nieve";"Probabilidad de aludes";"Causa de avalancha";"Altitud inicio";"Diferencia altitud inicio-fin";"Cobertura nubosa";"¿Sabe temperatura exacta?";"Temperatura exacta";"Temperatura aproximada";"Velocidad viento";"Dirección viento";"Espesor hielo";"Tipo fenómeno marítimo";"Comentario fen. marítimo"
"427";"https://sinobas.aemet.es/index.php?pag=detal&rep=427";"adrihernandez";"";"2011-03-11";"10:30";"+/- 1 hora";"2014-11-20";"Tuba";"Alta";"28.542";"-16.361";"111";"Santa Cruz de Tenerife";"San Cristóbal de La Laguna";"Avenida Milan, 90, 38260 San Cristóbal de La Laguna, Santa Cruz de Tenerife, España";"38260";"Posible mesociclón y funnel cloud asociado en Tejina, San Cristóbal de La Laguna. Hacia las 10:30 horas se observa movimiento rotatorio en nubes de tormenta que han entrado por la fachada NE de Tenerife. Fotos sacadas desde Bajamar.";"Hacia las 10:30 horas de la mañana del 11 de marzo de 2011 penetran sobre la fachada noreste de Tenerife oscuras nubes de tormenta, las cuales comienzan a girar sobre sí mismas, originando un posible mesociclón y funnel cloud o nube embudo asociados.";"NO";"NO";"";"";"0";"0";"0";"Informado por un testigo del evento, Fotos o videos del evento";"";"1";"";"";"";"";"";"";"SD";"Lluvia ligera o moderada, Tormenta";"";"";"";"";"30%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"428";"https://sinobas.aemet.es/index.php?pag=detal&rep=428";"Cadizmet";"";"1965-10-19";"09:50";"+/- 1 hora";"2014-11-25";"Precipitación Súbita Torrencial";"Media";"36.421";"-6.146";"10";"Cádiz";"Chiclana de la Frontera";"Calle Alameda del Río, 5-9, 11130 Chiclana de la Frontera, Cádiz, España";"11130";"Pasa el tiempo y no hay quien olvide aquella monstruosa noche del 18 al 19 de octubre de 1965 en Chiclana de la Frontera.  Una tormenta local extremadamente severa asociada a una DANA a la altura del Golfo de Cádiz, provocó que entre Chiclana y Medina Sidonia,  aquella madrugada el cielo descargara hasta 263 litros de agua por metro cuadrado durante 7 horas interminables.   Hasta el momento, fue la peor Gota Fría que la provincia de Cádiz recordará por siempre.  Una supercélula provocando una rotación vertical de los vientos en altura por gran radio de extensión,  tuvo nacimiento entorno a las aguas del Cabo Roche y un largo desarrollo un tanto circular a la geografía de relieve justo encima de los montes de Medina Sidonia y extendiéndose por todo el interior de la ciudad de Chiclana en sentido N-NW de su desarrollo.  Luego el núcleo traslativo fue desgastándose en dirección NE aunque dejando también un importantísimo aguacero tormentoso sobre Grazalema.";"Una tormenta local extremadamente severa asociada a una DANA a la altura del Golfo de Cádiz, provocó que entre Chiclana y Medina Sidonia,  aquella madrugada el cielo descargara hasta 263 litros de agua por metro cuadrado durante 7 horas interminables.   Hasta el momento, fue la peor Gota Fría que la provincia de Cádiz recordará por siempre.  Una supercélula provocando una rotación vertical de los vientos en altura por gran radio de extensión,  tuvo nacimiento entorno a las aguas del Cabo Roche y un largo desarrollo un tanto circular a la geografía de relieve justo encima de los montes de Medina Sidonia y extendiéndose por todo el interior de la ciudad de Chiclana en sentido N-NW de su desarrollo.  Luego el núcleo traslativo fue desgastándose en dirección NE aunque dejando también un importantísimo aguacero tormentoso sobre Grazalema.";"NO";"NO";"Cuantiosos daños materiales de enorme consideración. Puentes arrastrados en el interior urbano de la población y casas inundadas, algunas entre 3 y 4 metros de altura.";"Absolutamente todas las cosechas fueron arrasadas por riachuelos y torrentes de agua imposibles de contar.";"";"54";"0";"Testigo de los daños, Informado por un testigo del evento, Información en los medios, Información en sitios webs, Fotos o videos del evento, Información en documentos científicos, Información en documentos históricos, Informe por un meteorólogo profesional";"";"";"";"";"";"";"";"";"180 minutos";"";"";"";"";"";"";"";"";"";"";"";"";"188";"04:00";"";"";"";"";"60";"";"263";"Si";"Lluvia y granizo";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"429";"https://sinobas.aemet.es/index.php?pag=detal&rep=429";"bamengualv";"AEMET";"2014-11-26";"09:00";"+/- 15 minutos";"2014-11-26";"Tornado / Tromba Marina";"Alta";"39.527";"2.660";"-16";"Illes Balears";"Palma";"Passeig Cala Gamba, 35, 07007 Palma, Illes Balears, España";"7007";"Tromba marina avistada desde Palma hacia el Sur.";"Tromba marina avistada desde Palma hacia el Sur.";"NO";"NO";"";"";"";"";"";"Fotos o videos del evento";"Tromba Marina";"1";"";"SD";"SD";"";"Si";"1";"SD";"Lluvia ligera o moderada";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"430";"https://sinobas.aemet.es/index.php?pag=detal&rep=430";"jaroro70";"";"2014-11-27";"07:15";"+/- 5 minutos";"2014-11-27";"Tornado / Tromba Marina";"Alta";"36.660";"-4.495";"28";"Málaga";"Málaga";"Carretera Coín, 38, 29140 Málaga, Málaga, España";"29140";"Un tornado causa numerosos daños en Churriana y Torremolinos &lt;br /&gt;&lt;br /&gt;http://www.laopiniondemalaga.es/malaga/2014/11/27/tornado-causa-numerosos-destrozos-churriana/725412.html";"El temporal de lluvia y viento que desde las cinco de la madrugada ha sacudido la provincia ha causado cuantiosos daños en Churriana y Torremolinos. El viento arrasó con vehículos, mobiliario urbano, vegetación y con todo lo que ha encontrado a su paso. Según confirman fuentes de la Agencia Estatal de Meteorología, el tornado se produjo entre las 7.00 y 8.00 horas.&lt;br /&gt;&lt;br /&gt;Según explica el concejal del área de Seguridad del Ayuntamiento de Málaga, Julio Andrade, las primeras informaciones apuntan a que este tornado hizo su aparición por la zona de Playamar y recorrió la avenida de Coín y la avenida García Morato, provocando graves daños en el tejado de la gasolinera BP y en tres coches, así como en otros 17 vehículos que estaban estacionados en el aparcamiento de un hotel cercano. El Ayuntamiento también ha informado en su cuenta de Twitter que el tornado ha tirado cerramiento de base área y una treintena de árboles. S. Parques y Jardines tiene activado el dispositivo emergencia.&lt;br /&gt;&lt;br /&gt;En Playamar, los efectos del tornado se dejaron notar sobre todo en los chiringuitos. Algunos de los cuáles, como el Copacabana, que sufrió numerosos daños en su estructura, así como arrancó de cuajo varios grandes árboles en el Paseo Marítimo. Los daños también son muy visibles en las urbanizaciones junto a la playa, afectando, sobre todo a parques infantiles, vehículos.&lt;br /&gt;&lt;br /&gt;La zona de Los Álamos también ha resultado afectada por el tornado. En los aledaños de la gasolinera y el hotel, el viento ha arrancado varios árboles y carteles publicitarios.";"NO";"SI";"";"";"";"";"";"Testigo del evento";"Tromba Marina";"1";"";"EF1: 138-178 km/h";"T3: 148-184 km/h";"";"No";"1";"15 minutos";"Lluvia fuerte";"Entre 6 y 7 km";"30 metros";"100 metros";"suroeste a noreste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"431";"https://sinobas.aemet.es/index.php?pag=detal&rep=431";"Lolipop";"";"2014-11-27";"12:00";"+/- 5 minutos";"2014-11-27";"Tornado / Tromba Marina";"Alta";"36.710";"-4.288";"0";"Málaga";"Rincón de la Victoria";"Paseo de la Marina, 55-57, 29730 Rincón de la Victoria, Málaga, España";"29730";"Una segunda tromba marina ha sido avistada esta mañana en el mar, concretamente frente a las costas de Rincón de la Victoria sobre las 12.45 horas, según testigos.

Fuente: Diario Sur ( http://www.diariosur.es/axarquia/201411/27/otra-tromba-agua-frente-20141127130723.html )";"Se presentó en la costa de la Axarquía.";"NO";"NO";"";"";"";"";"";"Testigo del evento, Informado por un testigo del evento";"Tornado";"1";"";"SD";"T0: 61-86 km/h";"";"Si";"1";"SD";"Lluvia fuerte, Tormenta";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"432";"https://sinobas.aemet.es/index.php?pag=detal&rep=432";"jriescom";"AEMET";"2014-11-27";"14:00";"+/- 5 minutos";"2014-11-27";"Granizada Singular";"Alta";"36.776";"-4.104";"41";"Málaga";"Vélez-Málaga";"Calle de Dolores Gámez Ruiz, 2, 29700 Vélez-Málaga, Málaga, España";"29700";"Vélez-Málaga fue afectada por una impresionante tormenta en forma de granizo que ha paralizado la vida de la ciudad por espacio de unos 15 minutos. La tromba se ha producido entre las 14.00 y las 14.15 h.l.";"La tromba se ha producido entre las 14.00 y las 14.15 horas, concidiendo con la salida de los alumnos de los centros escolares del municipio. Aunque el agua arrastró pronto buena parte del granizo, en algunas partes duró bastante el hielo acumulado. La tromba afecó no sólo a Vélez, sino también a Torre del Mar y localidades cercanas como Algarrobo";"NO";"NO";"Generación de inundaciones locales.";"Daños en el campo en la recogida de la aceituna y del aguacate...";"";"";"";"Información en los medios";"";"";"";"";"";"";"";"";"15 minutos";"";"";"";"";"";"";"";"Entre 1 y 2";"Entre 0,5 y 1";"SD";"5";"Agregados";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"433";"https://sinobas.aemet.es/index.php?pag=detal&rep=433";"weatherpablo";"";"2014-11-28";"13:20";"+/- 15 minutos";"2014-11-28";"Tuba";"Media";"36.493";"-6.287";"0";"Cádiz";"Cádiz";"Avenida José León de Carranza, 37, 11011 Cádiz, Cádiz, España";"11011";"Yo estaba situado en la Playa victoria, en Cádiz, vi acercarse un sistema tormentoso post-frontal hacia la costa con dirección SSE (hacia Chiclana de la Frontera)";"Debido a un sistema tormentoso post-frontal del frente frío que atravesó Cádiz anoche. La tuba proviene de una nube cumulonimbus bien desarrollada con una fuerte cortina de precipitación y aparato eléctrico “nube-tierra“
En este caso todo sucedió en el mar.
Al irse acercando la tormenta la temperatura del aire se sentía mas fría y por la costa se levantaba como una corriente de humedad. Observando hacia el evento en cuestión, empezo a desprenderse de la nube por uno de los laterales de la cortina de lluvia la tuba que aquí describo.
Empezando así a notarse notablemente la rotación en las nubes de su alrededor y su movimiento.
al cabo de unos minutos y de una rápida intensificación, desapareció “retrocediendo“ hacia la nube.";"NO";"NO";"Sin daños, ya que ocurrió mar a dentro.";"ninguno";"0";"0";"0";"Testigo del evento";"";"1";"";"";"";"";"";"";"5 minutos";"Lluvia fuerte, Tormenta";"";"";"";"";"30%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"434";"https://sinobas.aemet.es/index.php?pag=detal&rep=434";"borrascaman";"";"2014-11-27";"17:00";"+/- 15 minutos";"2014-11-29";"Tuba";"Media";"41.298";"2.102";"1";"Barcelona";"El Prat de Llobregat";"Unnamed Road, 08820 El Prat de Llobregat, Barcelona, España";"8820";"El fenómeno se produjo sobre el Aeropuerto de Barcelona. Ha sido visto desde el mirador del Aeropuerto que hace “esquina“ con el Camí de València mirando hacia el suroeste-oeste de mi posición.";"Tuvieron lugar diversos chubascos con intensidad fuerte, vientos moderados con rachas fuertes y algún trueno llegando a la costa central catalana. Estaba observando como iba avanzando la cortina de precipitación cuando en su parte trasera empezó a descender un remolino que por poco no llegó a alcanzar la superfície (estuve presente desde el inicio hasta el final del evento). Su duración aproximada de 10 minutos. Estaba situado el fenómeno a unos 2 km de mi posición aproximadamente.";"NO";"NO";"Ninguno";"Ninguno";"0";"0";"0";"Testigo del evento, Información en sitios webs, Fotos o videos del evento, Informe por un aficionado entrenado";"";"1";"";"";"";"";"";"";"10 minutos";"Lluvia fuerte";"";"";"";"";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"435";"https://sinobas.aemet.es/index.php?pag=detal&rep=435";"francisco";"AEMET";"2014-11-13";"19:20";"+/- 5 minutos";"2014-12-03";"Reventón / Frente de racha";"Alta";"42.599";"-8.647";"26";"Pontevedra";"Caldas de Reis";"EP-8004, 74, 36650 Caldas de Reis, Pontevedra, España";"36650";"Hubo varios lugares:
 En Boiro, cerca de Rianxo.
En un polígono industria de Caldas de rey, a 2.2km del pueblo; carretra 640 dirección Villagercía";"Un frente de lluvia y viento avanzaba NW-SE. A su paso fue produciendo distintos daños. Al llegar al polígono de Caldas el viento arrancó un panel frontal de policarbonato por el que entró el aire en la nave. Una vez dentro sembró el pánico hasta que rompió los panéles metálicos de la techumbre y salió. Todo fue expulsado hacia afuera. Las viguetas que sujetaban el techo hubo que cambiarlas.";"NO";"NO";"Tejados y fachadas.";"Arboles en un paseo de Boiro";"";"";"";"Información en los medios, Informe por un meteorólogo profesional";"";"";"Vórtice de racha";"&lt; EF0";"T0: 61-86 km/h";"80";"";"";"1 minuto";"Lluvia fuerte";"SD";"SD";"SD";"noroeste a sureste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"436";"https://sinobas.aemet.es/index.php?pag=detal&rep=436";"Delia";"AEMET";"2014-11-11";"07:00";"+/- 15 minutos";"2014-12-04";"Tornado / Tromba Marina";"Alta";"37.245";"-6.110";"25";"Sevilla";"La Puebla del Río";"Unnamed Road, 41130 La Puebla del Río, Sevilla, España";"41130";"TM de Villamanrique, Aznalcázar, Puebla del Río, Coria del Río y Dos Hermanas";"Al paso de un frente muy activo, con importantes precipitaciones acompañadas de tormenta y vientos fuertes en buena parte del suroeste peninsular. El evento ocurre en el seno de una celula especialmente activa embebida en el frente. Una franja de municipios de la provincia de Sevilla se vio afectada, con inundaciones en poblaciones como Pilas, Coria o Dos Hermanas. En días posteriores recibimos información del INFOCA acerca de daños en pinares del término municipal de Aznalcázar. Posteriormente se recibe amplia información complementaria y se realiza una visita de campo por técnicos de AEMET, INFOCA y Medio Ambiente, que permite identificar una larga trayectoria. Al no haber afectado a zonas habitadas, la repercusión en los medios ha sido muy escasa.";"NO";"SI";"Naves y cobertizos, maquinaria, tendido eléctrico, carpa. Una vaca muerta.";"300 pinos tirados en el pinar de Aznalcázar. Numerosos eucaliptos, pinos y encinas dañados en todo el recorrrido. Zonas de cultivo sin daños visibles.";"";"0";"0";"Testigo de los daños, Informado por un testigo del evento, Informado por un testigo de los daños, Fotos o videos de los daños";"Tornado";"1";"";"EF2: 179-218 km/h";"T4: 185-220 km/h";"";"No";"1";"SD";"Lluvia fuerte";"Entre 20 y 30 km";"50 metros";"100 metros";"oeste a este";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"437";"https://sinobas.aemet.es/index.php?pag=detal&rep=437";"Ramon";"AEMET";"2014-08-02";"17:00";"+/- 15 minutos";"2014-12-10";"Precipitación Súbita Torrencial";"Alta";"41.558";"1.335";"697";"Tarragona";"Llorac";"Unnamed Road, 43427 Llorac, Tarragona, España";"43427";"Se trata de una zona de montaña baja-media con pueblos pequeños dispersos y algunos torrentes habitualmente secos o con poco caudal.";"Tormenta altamente eficiente en terreno de orografía compleja. Típica y fuerte inundación repentina.";"NO";"SI";"Inundaciones menores en calles de pueblos: especialmente Conesa. 
Multitud de pequeños/medianos objetos (bidones, muebles, colchones,..) arrastrados por el agua.
Inundaciones en jardines.
Destrozo de algún muro de pequeño tamaño.
Pequeñas inundaciones de bajos de viviendas.
Electrodomésticos inutilizables.
Cortes de corta duración de calles y carreteras.
Algún coche volcado por el agua.
Pequeñas afectaciones a muros y puertas de viviendas.";"Inundaciones de huertos.";"";"0";"0";"Fotos o videos del evento, Fotos o videos de los daños";"";"";"";"";"";"";"";"";"180 minutos";"";"";"";"";"";"";"";"";"";"";"";"";"165";"16:20";"";"20";"";"57";"94";"";"165";"Si";"Lluvia y granizo";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"438";"https://sinobas.aemet.es/index.php?pag=detal&rep=438";"Quiversup";"";"2014-12-14";"15:10";"+/- 1 minuto";"2014-12-15";"Tornado / Tromba Marina";"Alta";"39.289";"-0.281";"0";"Valencia";"El Perellonet";"Oficina de Gestión Técnica del Parc Natural de la Albufera, Paseo de las Golas, 88, 46012 El Perellonet, Valencia, España";"46012";"A unos dos kilometros de la costa";"Se genero en el mar yo empece a obsevarlo ya bienformado , sobre las 15:11. Y tengo fotos desde las 15:11 hasta las 15:17 que empeba a dehacerse pero siguio observandose un rato
A los pocos minutis observe otra de menor intensidad, se veia la nube enroscada, pero no se apreciaba hasta el agua, sin embargo en el agua se veia como si llegaba la succion, con una pequeña mancha de agua elevandose y algo de viento alrededor";"NO";"NO";"";"";"";"";"";"Testigo del evento, Fotos o videos del evento";"Tromba Marina";"2";"";"SD";"SD";"";"Si";"1";"10 minutos";"Sin Precipitación";"Entre 2 y 3 km";"SD";"SD";"norte a sur";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"439";"https://sinobas.aemet.es/index.php?pag=detal&rep=439";"Ramon";"AEMET";"2014-12-14";"22:30";"+/- 15 minutos";"2014-12-17";"Granizada Singular";"Alta";"41.234";"1.799";"4";"Barcelona";"Sitges";"Carrer Francesc Armengol, 19, 08870 Sitges, Barcelona, España";"8870";"Localidad con bastante población cercana a Barcelona.";"Tormenta muy local con abundantes rayos, lluvia torrencial y abundante granizo.";"NO";"NO";"Carreteras C-31 y C-32 cortadas por el granizo durante bastante rato (hasta 6 horas la C-32). Inundaciones locales menores. Coches atrapados.";"";"";"0";"0";"Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños, Informe por un meteorólogo profesional";"";"";"";"";"";"";"";"";"10 minutos";"";"";"";"";"";"";"";"Entre 0,5 y 1";"Entre 0,5 y 1";"SD";"5";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"441";"https://sinobas.aemet.es/index.php?pag=detal&rep=441";"jnunez";"AEMET";"2015-01-10";"02:30";"+/- 15 minutos";"2015-01-12";"Fenómenos marítimos raros";"Alta";"39.650";"-0.212";"0";"Valencia";"Sagunto";"Travesía Mediterráneo N 01, 46520 Sagunto, Valencia, España";"46520";"Descenso del nivel de mar de 42 cm. en Sagunt y 40 cm en Gandía asociados a las altas presiones atmosféricas.";"La presión máxima medida en Utiel fue de 950.9 hPa. que reducida al nivel del mar da un valor de 1047.4 hPal. En el aeropuerto de El Altet la presión máxima reducida al nivel del mar fue de 1044.4 hPa (1040.5 al nivel de la estación que es de 31 m.). En Alicante ciudad jardín la máxima a nivel del mar fue de 1044.3, 1034.0 al nivel de la estación (la referencia barométrica de Alicante son 82 m).";"NO";"NO";"";"";"";"";"";"Testigo del evento, Informado por un testigo del evento, Información en los medios, Fotos o videos del evento, Información en documentos científicos";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Oscilaciones transitorias del nivel del mar";"Descensos generalizados del nivel del mar debido a las altas presiones registradas que en algunos observatorios como el de Alicante y Aeropuerto de Alicante/Elche fueron record de la serie"
"442";"https://sinobas.aemet.es/index.php?pag=detal&rep=442";"ProyectoMastral";"AMETSE";"2015-01-09";"13:00";"+/- 1 día";"2015-01-12";"Fenómenos marítimos raros";"Alta";"37.976";"-0.672";"5";"Alicante";"Torrevieja";"Calle Ramón y Cajal, 71, 03182 Torrevieja, Alicante, España";"3182";"Toda la costa de Torrevieja.";"Bajada del nivel del mar dejando ver rocas que habitualmente están sumergidas bajo el agua.";"NO";"NO";"Ninguno";"Ninguno";"";"";"";"Testigo del evento, Fotos o videos del evento";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Oscilaciones transitorias del nivel del mar";"Bajada notable del nivel del mar durante varias jornadas. El fenómeno de las menguas ha sido este año más destacado que en otros años."
"443";"https://sinobas.aemet.es/index.php?pag=detal&rep=443";"ProyectoMastral";"AMETSE";"2014-11-28";"11:00";"+/- 3 horas";"2015-01-12";"Fenómenos marítimos raros";"Alta";"37.971";"-0.695";"4";"Alicante";"Torrevieja";"Avenida Desiderio Rodríguez, 2, 03185 Torrevieja, Alicante, España";"3185";"Subida del nivel del mar cubriendo gran parte de las playas de Torrevieja. A destacar en la Playa del Acequión (dentro de la bahía) y en la Playa de Los Náufragos.";"Durante la mañana del viernes 28 de febrero nos informan de una inusual subida del nivel de las aguas en la zona de la Playa del Acequión y de la Playa de Los Náufragos de Torrevieja que se mantuvo durante toda la mañana. A eso se le unió el temporal marítimo que llegó a provocar algunos daños materiales.";"NO";"NO";"40 metros de zona peatonal al caer la balaustrada al agua por los efectos del oleaje";"";"";"0";"0";"Testigo del evento, Testigo de los daños, Información en los medios, Fotos o videos del evento, Fotos o videos de los daños";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Oscilaciones transitorias del nivel del mar";"Subida del nivel del mar, probablemente provocada por una zona de muy bajas presiones, que cubrió las playas de Torrevieja durante la mañana del viernes 28 de noviembre de 2014."
"444";"https://sinobas.aemet.es/index.php?pag=detal&rep=444";"jriescom";"AEMET";"2015-01-19";"19:00";"+/- 1 hora";"2015-01-20";"Granizada Singular";"Alta";"36.724";"-2.731";"53";"Almería";"El Ejido";"Unnamed Road, 04715 El Ejido, Almería, España";"4715";"Tormenta eléctrica persistente en torno a las 19 h.l. en el término municipal de El Ejido, disparada localmente en una zona de convergencia. Precipitaciones intensas (50 mm acumulados), de ellos 21 mm, en tan sólo una hora. Hubo granizo de pequeño tamaño que cayó con intensidad y se acumuló formando una espesa capa junto al suelo.";"En el área cercana al núcleo de San Agustín (El Ejido) en la tarde noche del lunes 19 de enero de 2015 se produjo una fuerte granizada y precipitaciones intensas.";"NO";"NO";"SEGÚN RECOGE EL PERIÓDICO EL IDEAL:

La Unión de Pequeños agricultores ha realizado una estimación sobre las pérdidas ocasionadas por la tormenta de granizo acontecida en la tarde noche de ayer en el Poniente almeriense. Los municipios más afectados fueron los de El Ejido, La Mojonera, Roquetas y Vícar. Según la organización agraria los mayores daños se han registrado en invernaderos con producto y cuantifica que han sido, aproximadamente, 100 hectáreas afectadas. Desde UPA valoran estas pérdidas en 7 millones de euros.

En relación a caminos rurales, UPA asegura que se han visto afectados el 10% de las vías de comunicación de explotaciones, en total 20 kilómetros. En infraestructuras de riego “se ha perdido el 2% de las instalaciones de riego, tuberías principales y secundarias; así como instalaciones de riego de parcelas“, daños que ascienden a 0,6 millones de euros..

En una primera estimación por los daños de la tormenta, la Unión de Pequeños Agricultores y Ganaderos de Almería fija en 15 millones de euros las pérdidas ocasionadas. “A estos más de 15 millones de euros hay que sumar el posible coste de infraestructuras de titularidad pública.“, añadieron en UPA Almería";"";"15000000";"";"";"Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños, Información en documentos científicos";"";"";"";"";"";"";"";"";"SD";"";"";"";"";"";"";"";"Entre 0,5 y 1";"Entre 0,5 y 1";"SD";"5";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"445";"https://sinobas.aemet.es/index.php?pag=detal&rep=445";"jalvareza";"AEMET";"2014-11-28";"06:15";"+/- 15 minutos";"2015-01-27";"Viento de Ladera";"Alta";"41.054";"-3.828";"1198";"Segovia";"Navafría";"Calle Colada Ganados";"40161";"La daños se concentraban en unas naves-caballerizas, árboles derribados en la finca cercana de El Bosque y un invernadero a 15 Km al norte de Navafría próximo a la Matilla.";"Vientos muy fuertes y persistentes durante la madrugada en la zona de Navafría. El viento comenzó a soplar por la noche del 27 a partir de las 22:00 pero su intensidad aumento entre las 06 y las 09 horas locales del día 28. Después disminuyó.";"NO";"NO";"Tejado levantado y arrancado de una nave ganadera. Los objetos más pequeños fueron como proyectiles que dañaron los tejados de las viviendas próximas. Suministro eléctrico interrumpido por la caída de tendido eléctrico. Posiblemente el invernadero desplazado junto al viento fuerte derribaron tres torres.";"Árboles derribados en la Finca El Bosque. Invernadero levantado y desplazado en una zona próxima a La Matilla";"";"";"";"Informado por un testigo del evento, Informado por un testigo de los daños";"";"";"";"EF0: 105-137 km/h";"T1: 87-115 km/h";"100";"";"";"180 minutos";"Lluvia ligera o moderada";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"446";"https://sinobas.aemet.es/index.php?pag=detal&rep=446";"vgonzalez";"AEMET";"2015-02-04";"18:00";"+/- 1 minuto";"2015-02-10";"Nevada Singular";"Alta";"42.947";"-6.488";"1031";"Asturias";"Zarréu";"Barrio San Roque, 8-38, 33812 Zarréu, Asturias, España";"33812";"Todo el pueblo de Zarréu.";"Nos informan que el día anterior hubo chubascos de nieve y nieve granulada. En la tarde del día 4 comenzó a nevar y siguió nevando duarnte toda la noche, la madrugada y los siguientes 5 y 6 de febrero de 2015 .";"NO";"NO";"Todo el pueblo se vió afectado y aislado por la nevada. Las puertas de las viviendas y comercios quedaron bloqueadas por la acumulación de nieve. La iglesia de Santa María de Cerredo quedó medio sepultada.";"";"";"";"";"Testigo del evento, Información en los medios, Fotos o videos del evento";"";"";"";"";"";"";"";"";"60 horas";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"165";"";"";"";"";"No";"";"";"";"";"";"300";"";"";"";"";"";"";"";"";"";""
